,ds,iOS,iOS_pi_lower,iOS_pi_upper,web,web_pi_lower,web_pi_upper,Android,Android_pi_lower,Android_pi_upper,mobile_web,mobile_web_pi_lower,mobile_web_pi_upper,Total,Total_pi_lower,Total_pi_upper
59,2018-04-06,57746.38484129279,50944.515439488816,64398.73710687635,99733.44575132469,82733.8080772836,116343.74512793342,25482.884885040065,22855.284917302826,28140.3188652694,25037.911608141378,21553.405133694483,28446.406534458998,208000.62708579891,178087.01356776973,237329.20763453818
60,2018-04-07,54366.44255076458,46969.60746002489,61069.91884662435,69912.79171914495,52906.83026163292,85735.98330471996,24321.34544385732,21814.27576497438,27054.02653172974,24388.709103249046,20852.380040475487,27834.62823976916,172989.28881701588,142543.09352710767,201694.5569228432
61,2018-04-08,57230.21924481304,49505.45279755381,63807.474767148706,74935.65588644602,58460.5074954309,92303.2471466165,24907.688070696568,22335.561405210785,27524.317805733786,25708.31177669055,22152.399494970243,29332.079866198237,182781.87497864617,152453.92119316573,212967.11958569725
62,2018-04-09,62236.64503613272,55096.349620153196,69251.20202927568,115826.86039825069,98673.7517313787,132963.73659421966,26717.394454663587,24144.376922040727,29504.84547023689,27306.984787711423,23684.938979849438,30749.8886641642,232087.88467675843,201599.41725342209,262469.6727578964
63,2018-04-10,62423.0094707884,55322.997279719726,69132.04424572576,116059.14954666638,98226.63568547105,132796.40983931147,27118.42223166208,24424.21532186984,29883.14307803523,27639.227190604888,24331.417566490996,30906.76253577408,233239.80843972176,202305.26585355162,262718.3596988465
64,2018-04-11,62611.273488701336,55740.54404251093,69597.72061982164,115754.17145807014,98471.98290449714,132283.882882985,27230.180003076177,24692.711292268872,29987.473955266134,27166.73786070893,23912.87910257146,30546.015591534295,232762.3628105566,202818.1173418484,262415.09304960707
65,2018-04-12,62095.4752647881,55359.74550585064,69053.48993390464,112275.7112721212,94214.63616769007,128114.46813263155,26914.924498830318,24277.04456451563,29733.073137759395,26760.277245260106,23390.376464970635,30227.200428286433,228046.38828099973,197241.80270302697,257128.231632582
66,2018-04-13,59871.566075715775,52401.09284014712,66726.36434601463,101347.89924909853,84579.641657677,115738.37880930971,26113.498576001333,23257.7451296838,28837.473682342636,25891.51406448954,22476.938601519065,29216.616927869833,213224.47796530518,182715.41822902698,240518.8337655368
67,2018-04-14,56727.50173893594,49606.56234867093,63393.33759539863,71306.35851536941,54776.403822565466,88956.01374163876,24979.020084964955,22195.57772909838,27671.935319261498,25351.131519426937,21975.954732464317,28840.90490719054,178364.01185869725,148554.49863279908,208862.19156348944
68,2018-04-15,59791.43567105077,52622.48946647807,67281.0601934749,76042.19455693783,58674.27369002523,93294.24012807521,25582.426073696333,22854.860172627796,28247.535252044807,26775.970230714785,23389.547916144937,30303.589673635935,188192.02653239973,157541.17124527603,219126.42524723083
69,2018-04-16,64955.26050500109,57621.73971174136,71639.7951282019,116582.47780924122,100068.23771280257,133459.03923393664,27398.21836422486,24788.33086574371,30106.45409903145,28473.42346095469,25219.43589330705,31973.01015966133,237409.38013942185,207697.7441835947,267178.29862083134
70,2018-04-17,65250.32742378062,58710.21876467917,73021.46435557828,116404.9412389448,99601.75049175443,133953.1205687431,27793.70187723607,25318.436673170072,30188.042734673523,28895.21075366761,25392.56005771147,32431.091401644702,238344.18129362908,209022.96598731514,269593.7190606396
71,2018-04-18,65493.947318102044,58315.989822338255,72453.1395431436,115638.82790125729,99088.01579490774,133225.8087648314,27887.9873756916,25200.265246442817,30542.286276382925,28500.427526684154,25043.241017117216,31915.46681944262,237521.19012173507,207647.51188080604,268136.7014038005
72,2018-04-19,64976.950583231635,58590.2980366813,71931.87623141508,111657.90584192186,96740.3212540364,129635.5071804257,27543.405927227628,24843.78297485203,30141.234412770762,28157.486977275723,24752.589109054774,31691.364599173456,232335.74932965686,204926.9913746245,263399.982423785
73,2018-04-20,62693.63693639576,55567.17438894827,69521.76768226604,100198.38077219225,81838.70884259445,116009.93567760196,26701.253110371377,23956.17913306895,29555.59352351556,27336.04099022442,24206.421763579463,30948.62770331562,216929.31180918383,185568.48412819114,246035.92458669917
74,2018-04-21,59427.913479593364,52587.87564772591,66518.22788322464,69609.68044894664,53637.928608272145,87419.17761018984,25515.4726593343,22799.817034672702,28213.748567958366,26825.152322602742,23666.04497681912,30476.585200267742,181378.21891047707,152691.66626748987,212627.73926164059
75,2018-04-22,62313.583130484134,55440.00855239465,69304.85177693688,73798.02407728566,56846.08816306438,91172.61929323131,26058.184021890673,23417.415601890134,28742.774140096368,28260.493211113662,24815.534633369745,31529.3717155278,190430.28444077412,160519.04695071888,220749.61692579236
